"","ID","name","category","main_category","currency","deadline","goal","launched","pledged","state","backers","country","usd.pledged"
"1",239894312,"Barwagen","Woodworking","Crafts","CHF","11/30/17",500,"10/23/17 19:32",15,"failed",2,"CH",0
"2",353169821,"StrongMACH Customs muscle car replicas","Art","Art","USD","10/3/16",1e+05,"8/4/16 18:29",0,"failed",0,"US",0
"3",1387928487,"Cravin' Dogs 30th anniversary CD project","Rock","Music","USD","10/27/16",12500,"9/27/16 16:40",1180,"failed",18,"US",531
"4",735160267,"A Socially Awkward fundraiser!","Plays","Theater","GBP","9/14/17",1500,"7/16/17 16:33",1500,"successful",42,"GB",144.05
"5",1838469271,"MechRunner","Video Games","Games","USD","5/17/14",25000,"4/13/14 20:57",28434,"successful",574,"US",28434
"6",1001979324,"Capturing the Soul of a Town","Documentary","Film & Video","USD","11/30/17",10000,"10/21/17 0:00",2935,"failed",44,"US",336
"7",421395779,"Poor Wayfaring Strangers Volume 1","Anthologies","Comics","USD","2/27/16",12500,"1/28/16 22:54",13832,"successful",413,"US",13832
"8",178870581,"The WET Book","Photography","Photography","USD","6/17/12",16000,"5/18/12 2:42",3020,"failed",20,"US",3020
"9",1591095099,"Widow:Bloody for Me--The Album & The Winding Road","Music","Music","USD","6/1/11",1500,"5/2/11 16:41",1945,"successful",35,"US",1945
"10",1708124515,"Standby For Transmission Mastering Costs Kickstarter","Indie Rock","Music","USD","8/2/13",800,"7/9/13 3:05",1070,"successful",20,"US",1070
"11",786928534,"Gunny Gaiters - A Hat, Scarf and Bag in One","Accessories","Fashion","USD","12/31/15",2222,"12/2/15 0:29",2365,"successful",34,"US",2365
"12",342073792,"Journeymen Anthology #1","Comics","Comics","USD","1/14/12",1500,"12/15/11 7:19",1717,"successful",84,"US",1717
"13",1409537946,"Lady's Night Out","Comedy","Film & Video","USD","9/19/16",25000,"8/20/16 16:01",10,"failed",1,"US",0
